A,B,C,D,E,F,G,H,I,J,K,L
971,PD40005180                                        ,RÚSTICO TRATADO 4-5X180,45292,UND ,COP,6480,0,0,0,0,
972,PD40005220                                        ,RÚSTICO TRATADO 4-5X210-230,45292,UND ,COP,9181,0,0,0,0,
973,PD40005250                                        ,RÚSTICO TRATADO 4-5X235-260,45292,UND ,COP,9909,0,0,0,0,
974,PD40012100                                        ,RÚSTICO TRATADO 12X100,45292,UND ,COP,13445,0,0,0,0,
975,PD40012120                                        ,RÚSTICO TRATADO 12X120,45292,UND ,COP,18761,0,0,0,0,
976,PD40012150                                        ,RÚSTICO TRATADO 12X150,45292,UND ,COP,20213,0,0,0,0,
977,PD40012180                                        ,RÚSTICO TRATADO 12X180,45292,UND ,COP,23172,0,0,0,0,
978,PD40012220                                        ,RÚSTICO TRATADO 12X210-230,45292,UND ,COP,29844,0,0,0,0,
979,PD40012250                                        ,RÚSTICO TRATADO 12X235-260,45292,UND ,COP,34046,0,0,0,0,
981,PD40067120                                        ,RÚSTICO TRATADO 6-7X120,45292,UND ,COP,10179,0,0,0,0,
982,PD40067150                                        ,RÚSTICO TRATADO 6-7X150,45292,UND ,COP,12104,0,0,0,0,
983,PD40067180                                        ,RÚSTICO TRATADO 6-7X180,45292,UND ,COP,13108,0,0,0,0,
984,PD40067200                                        ,RÚSTICO TRATADO 6-7X200,45292,UND ,COP,15406,0,0,0,0,
985,PD40067220                                        ,RÚSTICO TRATADO 6-7X210-230,45292,UND ,COP,15918,0,0,0,0,
986,PD40067250                                        ,RÚSTICO TRATADO 6-7X235-260,45292,UND ,COP,16555,0,0,0,0,
987,PD40089100                                        ,RÚSTICO TRATADO 8-9X100,45525,UND ,COP,8556,0,0,0,0,
988,PD40089120                                        ,RÚSTICO TRATADO 8-9X120,45292,UND ,COP,13755,0,0,0,0,
989,PD40089150                                        ,RÚSTICO TRATADO 8-9X150,45292,UND ,COP,16780,0,0,0,0,
990,PD40089180                                        ,RÚSTICO TRATADO 8-9X180,45292,UND ,COP,18627,0,0,0,0,
991,PD40089200                                        ,RÚSTICO TRATADO 8-9X200,45292,UND ,COP,17373,0,0,0,0,
992,PD40089220                                        ,RÚSTICO TRATADO 8-9X210-230,45292,UND ,COP,20977,0,0,0,0,
993,PD40089250                                        ,RÚSTICO TRATADO 8-9X235-260,45292,UND ,COP,22300,0,0,0,0,
995,PD41011120                                        ,RÚSTICO TRATADO 11X120,45292,UND ,COP,16230,0,0,0,0,
996,PD41011180                                        ,RÚSTICO TRATADO 11X180,45292,UND ,COP,22117,0,0,0,0,
997,PD41011200                                        ,RÚSTICO TRATADO 11X200,45292,UND ,COP,21394,0,0,0,0,
998,PD41011220                                        ,RÚSTICO TRATADO 11X210-230,45292,UND ,COP,27071,0,0,0,0,
999,PD41011250                                        ,RÚSTICO TRATADO 11X235-260,45292,UND ,COP,28378,0,0,0,0,
1000,PD4M1011180                                       ,RÚSTICO TRATADO MM 5 5X180,45292,UND ,COP,12707,0,0,0,0,
1001,PD4M1011220                                       ,RÚSTICO TRATADO MM 5 5X210-230,45292,UND ,COP,14035,0,0,0,0,
1002,PD4M1011250                                       ,RÚSTICO TRATADO MM 5 5X235-260,45292,UND ,COP,14744,0,0,0,0,
1003,PD4M012180                                        ,RÚSTICO TRATADO MM 6X180,45292,UND ,COP,12221,0,0,0,0,
1004,PD4M012220                                        ,RÚSTICO TRATADO MM 6X210-230,45292,UND ,COP,15668,0,0,0,0,
1005,PD4M012250                                        ,RÚSTICO TRATADO MM 6X235-260,45292,UND ,COP,17194,0,0,0,0,
1006,PD4TT1011180                                      ,RÚSTICO TRATADO TT 2 75X180,45292,UND ,COP,7193,0,0,0,0,
1007,PD4TT1011220                                      ,RÚSTICO TRATADO TT 2 75X210-230,45292,UND ,COP,7154,0,0,0,0,
1008,PD4TT1011250                                      ,RÚSTICO TRATADO TT 2 75X235-260,45292,UND ,COP,7449,0,0,0,0,
1009,PD4TT12180                                        ,RÚSTICO TRATADO TT 3X180,45292,UND ,COP,6172,0,0,0,0,
1010,PD4TT12220                                        ,RÚSTICO TRATADO TT 3X210-230,45292,UND ,COP,7912,0,0,0,0,
1011,PD4TT12250                                        ,RÚSTICO TRATADO TT 3X235-260,45292,UND ,COP,8683,0,0,0,0,
1012,C4ZOC0801100                                      ,ZOCALO 8X1X100,45292,UND ,COP,2235,0,0,0,0,
1013,C4ZOC0801150                                      ,ZOCALO 8X1X150,45292,UND ,COP,3455,0,0,0,0,
1014,C4ZOC0801200                                      ,ZOCALO 8X1X200,45292,UND ,COP,5895,0,0,0,0,
1015,C4ZOC0801250                                      ,ZOCALO 8X1X250,45292,UND ,COP,7454,0,0,0,0,
1016,C4ZOC0801300                                      ,ZOCALO 8X1X300,45292,UND ,COP,9568,0,0,0,0,
1018,C4GES1001100                                      ,GUARDA ESCOBA 10X1X100,45292,UND ,COP,3348,0,0,0,0,
1019,C4GES1001150                                      ,GUARDA ESCOBA 10X1X150,45292,UND ,COP,5262,0,0,0,0,
1020,C4GES1001200                                      ,GUARDA ESCOBA 10X1X200,45292,UND ,COP,8129,0,0,0,0,
1021,C4GES1001250                                      ,GUARDA ESCOBA 10X1X250,45292,UND ,COP,11830,0,0,0,0,
1022,C4GES1001300                                      ,GUARDA ESCOBA 10X1X300,45292,UND ,COP,15150,0,0,0,0,
1024,C4PYP1017100                                      ,PISO PARED 10X1.7X100M2,45292,M2  ,COP,35920,0,0,0,0,
1025,C4PYP1017150                                      ,PISO PARED 10X1.7X150M2,45292,M2  ,COP,35920,0,0,0,0,
1026,C4PYP1017200                                      ,PISO PARED 10X1.7X200M2,45292,M2  ,COP,53187,0,0,0,0,
1027,C4PYP1017250                                      ,PISO PARED 10X1.7X250M2,45292,M2  ,COP,57190,0,0,0,0,
1028,C4PYP1017300                                      ,PISO PARED 10X1.7X300M2,45292,M2  ,COP,60049,0,0,0,0,
1030,C4BOT1017100                                      ,BOTAGUA 10X1.7X100M2,45292,M2  ,COP,35920,0,0,0,0,
1031,C4BOT1017150                                      ,BOTAGUA 10X1.7X150M2,45292,M2  ,COP,35920,0,0,0,0,
1032,C4BOT1017200                                      ,BOTAGUA 10X1.7X200M2,45292,M2  ,COP,53187,0,0,0,0,
1033,C4BOT1017250                                      ,BOTAGUA 10X1.7X250M2,45292,M2  ,COP,57190,0,0,0,0,
1034,C4BOT1017300                                      ,BOTAGUA 10X1.7X300M2,45292,M2  ,COP,60050,0,0,0,0,
1036,C4LAR1038100                                      ,LARGUERO 10X3.8X100,45292,UND ,COP,11521,0,0,0,0,
1037,C4LAR1038150                                      ,LARGUERO 10X3.8X150,45292,UND ,COP,16500,0,0,0,0,
1038,C4LAR1038200                                      ,LARGUERO 10X3.8X200,45292,UND ,COP,24220,0,0,0,0,
1039,C4LAR1038250                                      ,LARGUERO 10X3.8X250,45292,UND ,COP,29821,0,0,0,0,
1040,C4LAR1038300                                      ,LARGUERO 10X3.8X300,45292,UND ,COP,36978,0,0,0,0,
1041,C4LAR1038400                                      ,LARGUERO 10X3.8X400,45292,UND ,COP,52837,0,0,0,0,
1042,C4COL1010100                                      ,COLUMNA 10X10X100,45292,UND ,COP,18186,0,0,0,0,
1043,C4COL1010150                                      ,COLUMNA 10X10X150,45292,UND ,COP,29181,0,0,0,0,
1044,C4COL1010200                                      ,COLUMNA 10X10X200,45292,UND ,COP,54811,0,0,0,0,
1045,C4COL1010250                                      ,COLUMNA 10X10X250,45292,UND ,COP,68691,0,0,0,0,
1046,C4COL1010300                                      ,COLUMNA 10X10X300,45292,UND ,COP,88494,0,0,0,0,
1047,C4COL1010400                                      ,COLUMNA 10X10X400,45292,UND ,COP,104000,0,0,0,0,
1050,C4COL1414200                                      ,COLUMNA 14X14X200,45292,UND ,COP,115459,0,0,0,0,
1051,C4COL1414250                                      ,COLUMNA 14X14X250,45292,UND ,COP,144323,0,0,0,0,
1052,C4COL1414300                                      ,COLUMNA 14X14X300,45292,UND ,COP,173188,0,0,0,0,
1053,C4COL1414400                                      ,COLUMNA 14X14X400,45292,UND ,COP,265915,0,0,0,0,
1054,C4DEK1425100                                      ,TABLA DECK 14X2.5X100,45292,UND ,COP,8857,0,0,0,0,
1055,C4DEK1425150                                      ,TABLA DECK 14X2.5X150,45292,UND ,COP,13275,0,0,0,0,
1056,C4DEK1425200                                      ,TABLA DECK 14X2.5X200,45292,UND ,COP,19665,0,0,0,0,
1057,C4DEK1425250                                      ,TABLA DECK 14X2.5X250,45292,UND ,COP,25930,0,0,0,0,
1058,C4DEK1425300                                      ,TABLA DECK 14X2.5X300,45292,UND ,COP,32411,0,0,0,0,
1059,C4DEK1425400                                      ,TABLA DECK 14X2.5X400,45292,UND ,COP,47284,0,0,0,0,
1060,C4BLO1438100                                      ,TABLON 14X3.8X100,45292,UND ,COP,17700,0,0,0,0,
1061,C4BLO1438150                                      ,TABLON 14X3.8X150,45292,UND ,COP,28567,0,0,0,0,
1062,C4BLO1438200                                      ,TABLON 14X3.8X200,45292,UND ,COP,35949,0,0,0,0,
1063,C4BLO1438250                                      ,TABLON 14X3.8X250,45292,UND ,COP,44754,0,0,0,0,
1064,C4BLO1438300                                      ,TABLON 14X3.8X300,45292,UND ,COP,55809,0,0,0,0,
1065,C4BLO1438400                                      ,TABLON 14X3.8X400,45292,UND ,COP,63000,0,0,0,0,
1066,C4BLO1838100                                      ,TABLON 18X3.8X100,45292,UND ,COP,23155,0,0,0,0,
1067,C4BLO1838150                                      ,TABLON 18X3.8X150,45292,UND ,COP,34550,0,0,0,0,
1068,C4BLO1838200                                      ,TABLON 18X3.8X200,45292,UND ,COP,46052,0,0,0,0,
1069,C4BLO1838250                                      ,TABLON 18X3.8X250,45292,UND ,COP,58639,0,0,0,0,
1070,C4BLO1838300                                      ,TABLON 18X3.8X300,45292,UND ,COP,75629,0,0,0,0,
1072,C4BLO2338100                                      ,TABLON 23X3.8X100,45292,UND ,COP,23910,0,0,0,0,
1073,C4BLO2338150                                      ,TABLON 23X3.8X150,45292,UND ,COP,38253,0,0,0,0,
1074,C4BLO2338200                                      ,TABLON 23X3.8X200,45292,UND ,COP,56877,0,0,0,0,
1075,C4BLO2338250                                      ,TABLON 23X3.8X250,45292,UND ,COP,79778,0,0,0,0,
1076,C4BLO2338300                                      ,TABLON 23X3.8X300,45292,UND ,COP,97646,0,0,0,0,
1078,C4BLO2038100                                      ,TABLON 20X3.8X100,45292,UND ,COP,21896,0,0,0,0,
1079,C4BLO2038150                                      ,TABLON 20X3.8X150,45292,UND ,COP,34982,0,0,0,0,
1080,C4BLO2038200                                      ,TABLON 20X3.8X200,45292,UND ,COP,55618,0,0,0,0,
1081,C4BLO2038250                                      ,TABLON 20X3.8X250,45292,UND ,COP,67194,0,0,0,0,
1082,C4BLO2038300                                      ,TABLON 20X3.8X300,45292,UND ,COP,88908,0,0,0,0,
1084,C4VLL3838100                                      ,VARILLON 3.8X3.8X100,45292,UND ,COP,4318,0,0,0,0,
1085,C4VLL3838150                                      ,VARILLON 3.8X3.8X150,45292,UND ,COP,6691,0,0,0,0,
1086,C4VLL3838200                                      ,VARILLON 3.8X3.8X200,45292,UND ,COP,10520,0,0,0,0,
1087,C4VLL3838250                                      ,VARILLON 3.8X3.8X250,45292,UND ,COP,12652,0,0,0,0,
1088,C4VLL3838300                                      ,VARILLON 3.8X3.8X300,45292,UND ,COP,18130,0,0,0,0,
1090,C4LAR0638100                                      ,LARGUERO 6X3.8X100,45292,UND ,COP,5821,0,0,0,0,
1091,C4LAR0638150                                      ,LARGUERO 6X3.8X150,45292,UND ,COP,9314,0,0,0,0,
1092,C4LAR0638200                                      ,LARGUERO 6X3.8X200,45292,UND ,COP,14903,0,0,0,0,
1093,C4LAR0638250                                      ,LARGUERO 6X3.8X250,45292,UND ,COP,19273,0,0,0,0,
1094,C4LAR0638300                                      ,LARGUERO 6X3.8X300,45292,UND ,COP,24858,0,0,0,0,
1096,C4TEC7501100                                      ,TABLILLA TECHO 7.5X1X100M2,45520,M2  ,COP,17484,0,0,0,0,
1097,C4TEC7501150                                      ,TABLILLA TECHO 7.5X1X150M2,45520,M2  ,COP,18468,0,0,0,0,
1098,C4TEC7501200                                      ,TABLILLA TECHO 7.5X1X200M2,45292,M2  ,COP,29090,0,0,0,0,
1099,C4TEC7501250                                      ,TABLILLA TECHO 7.5X1X250M2,45292,M2  ,COP,33056,0,0,0,0,
1100,C4TEC7501300                                      ,TABLILLA TECHO 7.5X1X300M2,45292,M2  ,COP,34708,0,0,0,0,
1102,C4VAR8523100                                      ,VARETA 8.5X2.3X100,45292,UND ,COP,5240,0,0,0,0,
1103,C4VAR8523150                                      ,VARETA 8.5X2.3X150,45292,UND ,COP,8316,0,0,0,0,
1104,C4VAR8523200                                      ,VARETA 8.5X2.3X200,45292,UND ,COP,11080,0,0,0,0,
1105,C4VAR8523250                                      ,VARETA 8.5X2.3X250,45292,UND ,COP,14733,0,0,0,0,
1106,C4VAR8523300                                      ,VARETA 8.5X2.3X300,45292,UND ,COP,18738,0,0,0,0,
1107,C4VAR8523400                                      ,VARETA 8.5X2.3X400,45292,UND ,COP,20888,0,0,0,0,
1108,C4VAR1025100                                      ,VARETA 10X2.5X100,45292,UND ,COP,5588,0,0,0,0,
1109,C4VAR1025150                                      ,VARETA 10X2.5X150,45292,UND ,COP,9835,0,0,0,0,
1110,C4VAR1025200                                      ,VARETA 10X2.5X200,45292,UND ,COP,14906,0,0,0,0,
1111,C4VAR1025250                                      ,VARETA 10X2.5X250,45292,UND ,COP,18141,0,0,0,0,
1112,C4VAR1025300                                      ,VARETA 10X2.5X300,45292,UND ,COP,23397,0,0,0,0,
1113,C4VAR1025400                                      ,VARETA 10X2.5X400,45292,UND ,COP,34227,0,0,0,0,
1114,C4DBV0838100                                      ,DOBLE VARETA 8X3.8X100,45292,UND ,COP,8940,0,0,0,0,
1115,C4DBV0838150                                      ,DOBLE VARETA 8X3.8X150,45292,UND ,COP,12780,0,0,0,0,
1116,C4DBV0838200                                      ,DOBLE VARETA 8X3.8X200,45292,UND ,COP,19742,0,0,0,0,
1117,C4DBV0838250                                      ,DOBLE VARETA 8X3.8X250,45292,UND ,COP,24262,0,0,0,0,
1118,C4DBV0838300                                      ,DOBLE VARETA 8X3.8X300,45292,UND ,COP,30329,0,0,0,0,
1119,C4DBV0838400                                      ,DOBLE VARETA 8X3.8X400,45292,UND ,COP,43742,0,0,0,0,
1120,C4COL0808100                                      ,COLUMNA 8X8X100,45292,UND ,COP,15241,0,0,0,0,
1121,C4COL0808150                                      ,COLUMNA 8X8X150,45292,UND ,COP,23056,0,0,0,0,
1122,C4COL0808200                                      ,COLUMNA 8X8X200,45292,UND ,COP,38747,0,0,0,0,
1123,C4COL0808250                                      ,COLUMNA 8X8X250,45292,UND ,COP,46710,0,0,0,0,
1124,C4COL0808300                                      ,COLUMNA 8X8X300,45292,UND ,COP,60197,0,0,0,0,
1125,C4COL0808400                                      ,COLUMNA 8X8X400,45292,UND ,COP,87971,0,0,0,0,
1126,C4VLL3802100                                      ,VARILLON 3.8X2X100,45292,UND ,COP,1870,0,0,0,0,
1127,C4VLL3802150                                      ,VARILLON 3.8X2X150,45292,UND ,COP,2910,0,0,0,0,
1128,C4VLL3802200                                      ,VARILLON 3.8X2X200,45292,UND ,COP,5405,0,0,0,0,
1129,C4VLL3802250                                      ,VARILLON 3.8X2X250,45292,UND ,COP,7294,0,0,0,0,
1130,C4VLL3802300                                      ,VARILLON 3.8X2X300,45292,UND ,COP,10677,0,0,0,0,
1132,C4TAB1825100                                      ,TABLA 18X2.5X100,45292,UND ,COP,14910,0,0,0,0,
1133,C4TAB1825150                                      ,TABLA 18X2.5X150,45292,UND ,COP,22203,0,0,0,0,
1134,C4TAB1825200                                      ,TABLA 18X2.5X200,45292,UND ,COP,30850,0,0,0,0,
1135,C4TAB1825250                                      ,TABLA 18X2.5X250,45292,UND ,COP,37100,0,0,0,0,
1136,C4TAB1825300                                      ,TABLA 18X2.5X300,45292,UND ,COP,46554,0,0,0,0,
1138,C4BOL2525090                                      ,BOLILLO 2.5X90,45292,UND ,COP,3681,0,0,0,0,
1140,C4BOL2525150                                      ,BOLILLO 2.5X150,45292,UND ,COP,5992,0,0,0,0,
1141,C4BOL2525200                                      ,BOLILLO 2.5X200,45292,UND ,COP,7917,0,0,0,0,
1142,C4BOL2525250                                      ,BOLILLO 2.5X250,45292,UND ,COP,10056,0,0,0,0,
1143,C4BOL2525300                                      ,BOLILLO 2.5X300,45292,UND ,COP,13592,0,0,0,0,
1144,C4BOL0303090                                      ,BOLILLO 3X90,45292,UND ,COP,4531,0,0,0,0,
1145,C4BOL0303100                                      ,BOLILLO 3X100,45292,UND ,COP,5034,0,0,0,0,
1146,C4BOL0303150                                      ,BOLILLO 3X150,45292,UND ,COP,7550,0,0,0,0,
1147,C4BOL0303200                                      ,BOLILLO 3X200,45292,UND ,COP,10069,0,0,0,0,
1148,C4BOL0303250                                      ,BOLILLO 3X250,45292,UND ,COP,12585,0,0,0,0,
1149,C4BOL0303300                                      ,BOLILLO 3X300,45292,UND ,COP,15419,0,0,0,0,
1150,ALAMFAR03500                                      ,ALAMBRE FARMER # 3 X 500 MTR            ,45292,UND ,COP,148235,0,0,0,0,
1151,ALAMFAR221000                                     ,ALAMBRE FARMER # 2.2 X 1000 MTR         ,45292,UND ,COP,212000,0,0,0,0,
1152,ALAMFAR22500                                      ,ALAMBRE FARMER # 2.2 X 500 MTR          ,45292,UND ,COP,109000,0,0,0,0,
1153,ALAMPUA125400                                     ,ALAMBRE DE PUA C 12.5 X 400 MTS,45292,UND ,COP,276980,0,0,0,0,
1154,ALAMPUA14135                                      ,ALAMBRE DE PUA C 14.5 X 135 MTS         ,45292,UND ,COP,95238,0,0,0,0,
1155,ALAMPUA14200                                      ,ALAMBRE DE PUA C 14.5 X 200 MTS         ,45292,UND ,COP,107882,0,0,0,0,
1156,ALAMPUA14350                                      ,ALAMBRE DE PUA C 14.5 X 350 MTS         ,45292,UND ,COP,181076,0,0,0,0,
1157,ALAMPUA14500                                      ,ALAMBRE DE PUA C 14 X 500 MTS,45292,UND ,COP,237395,0,0,0,0,
1158,ARANDEL5/16                                       ,ARANDELA DE 5/16                        ,45292,UND ,COP,42,0,0,0,0,
1159,ARANDELA1/2                                       ,ARANDELA DE 1/2                         ,45292,UND ,COP,276,0,0,0,0,
1160,ARANDELA1/4                                       ,ARANDELA DE 1/4                         ,45292,UND ,COP,30,0,0,0,0,
1161,ARANDELA3/8                                       ,ARANDELA DE 3/8                         ,45292,UND ,COP,166,0,0,0,0,
1162,ASAGRI250                                         ,ASTILLA AGRICOLA 250 CM,45509,TON ,COP,20308,0,0,0,0,
1163,BULTOVIRUTA                                       ,BULTOS DE VIRUTA                        ,45292,UND ,COP,3262,0,0,0,0,
1164,BULTOASERRI                                       ,BULTOS DE ASERRIN                       ,45292,UND ,COP,7000,0,0,0,0,
1165,CANEPLASTICA                                      ,CANECA PLASTICA,45292,UND ,COP,50000,0,0,0,0,
1166,CLARDECKNEUT5LTR                                  ,CLARIDECK CLAREADOR/NEUTRALIZADOR 5 LTS ,45292,UND ,COP,79154,0,0,0,0,
1167,CLCCCA112                                         ,CLAVOS CON CABEZA 1 1/2                 ,45292,UND ,COP,10234,0,0,0,0,
1168,CLCCCA200                                         ,"CLAVOS CON CABEZA 2""                    ",45292,UND ,COP,10878,0,0,0,0,
1169,CLCCCA212                                         ,"CLAVOS CON CABEZA 2"" 1/2                ",45292,UND ,COP,10000,0,0,0,0,
1170,CLCCCA300                                         ,"CLAVOS CON CABEZA 3""                    ",45292,UND ,COP,11600,0,0,0,0,
1171,CLCCCA312                                         ,"CLAVOS CON CABEZA 3"" 1/2                ",45292,UND ,COP,11754,0,0,0,0,
1172,CLCCCA400                                         ,"CLAVOS CON CABEZA 4""                    ",45292,UND ,COP,11948,0,0,0,0,
1173,CLCCCA500                                         ,"CLAVOS CON CABEZA 5""",45292,UND ,COP,18352,0,0,0,0,
1174,CLCCCA600                                         ,"CLAVOS CON CABEZA 6""",45292,UND ,COP,18352,0,0,0,0,
1175,CLCSCA200                                         ,"CLAVOS SIN CABEZA 2""                    ",45292,UND ,COP,7843,0,0,0,0,
1176,CLCSCA212                                         ,"CLAVOS SIN CABEZA 2"" 1/2                ",45292,UND ,COP,7843,0,0,0,0,
1177,COLUMEBCHERRD                                     ,COLUMPIO EN LONA EBC HERRAJE DORADO     ,45292,UND ,COP,118412,0,0,0,0,
1178,COLUMPBEBENYR                                     ,COLUMPIO EN BANDA NYRROYAL PARA BEBE    ,45292,UND ,COP,210588,0,0,0,0,
1179,COLUMPBLLHDB                                      ,COLUMPIO EN BANDA LLANTA HERRAJE DOBLE  ,45292,UND ,COP,222353,0,0,0,0,
1180,COLUMPBLLHSC                                      ,COLUMPIO EN BANDA LLANTA HERRAJE SENCILL,45292,UND ,COP,161176,0,0,0,0,
1181,COLUMPBNYRSC                                      ,COLUMPIO EN BANDA NYRROYAL SENCILLO     ,45292,UND ,COP,162353,0,0,0,0,
1182,CUMBRERAR2054                                     ,CUMBRERA ROJA 2 X 0.54                  ,45292,UND ,COP,52118,0,0,0,0,
1183,CUMBRERAV2054                                     ,CUMBRERA VERDE 2 X 0.54                 ,45292,UND ,COP,52118,0,0,0,0,
1184,DECKMODENR100X100                                 ,DECK MODULAR ENROLLABLE 100 CM X 100 CM ,45292,UND ,COP,55800,0,0,0,0,
1185,DECKMODTRASL60X60                                 ,DECK MODULAR TRASLAPADO 60 CM X 60 CM   ,45292,UND ,COP,133920,0,0,0,0,
1186,DESCURV240MT                                      ,DESLIZADERO DE 2.40 MT CURVO FV         ,45292,UND ,COP,458850,0,0,0,0,
1187,DESFIVI180MT                                      ,DESLIZADERO DE 1.80 MT EN FIBRA DE VIDRI,45292,UND ,COP,349500,0,0,0,0,
1188,DESFIVI240MT                                      ,DESLIZADERO DE 2.40 MT EN FIBRA DE VIDRI,45292,UND ,COP,458850,0,0,0,0,
1189,DESONFV240MT                                      ,DESLIZADERO DE 2.40 MT ONDAS FV         ,45292,UND ,COP,523600,0,0,0,0,
1190,DESPDESALAC                                       ,DESPERDICIO,45292,UND ,COP,67200,0,0,0,0,
1191,DESPDESALBA                                       ,DESPERDICIO DESALBURADO A               ,45292,UND ,COP,101614,0,0,0,0,
1192,DESPDESALBC                                       ,DESPERDICIO DESALBURADO C               ,45292,UND ,COP,101614,0,0,0,0,
1193,DESPDESALBJM                                      ,DESPERDICIO DESALBURADO JM              ,45292,UND ,COP,1456000,0,0,0,0,
1194,DESPDESALBP                                       ,DESPERDICIO DESALBURADO P               ,45292,UND ,COP,101614,0,0,0,0,
1196,GRAPAGALV114                                      ,"GRAPA GALV KILO 1"" 1/4                  ",45292,UND ,COP,10941,0,0,0,0,
1197,HBSEVOW8100                                       ,TORNILLO ROTHOBLAAS HBS EVO WOOD 8 X 100,45292,UND ,COP,163400,0,0,0,0,
1198,HBSEVOW8120                                       ,TORNILLO ROTHOBLAAS HBS EVO WOOD 8 X 120,45292,UND ,COP,1788,0,0,0,0,
1199,HBSEVOW8160                                       ,TORNILLO ROTHOBLAAS HBS EVO WOOD 8 X 160,45292,UND ,COP,2283,0,0,0,0,
1200,HBSEVOW8180                                       ,TORNILLO ROTHOBLAAS HBS EVO WOOD 8 X 180,45292,UND ,COP,2959,0,0,0,0,
1201,INMUNIVENTA                                       ,INMUNIZANTE CCA 360 KG,45292,UND ,COP,7200000,0,0,0,0,
1202,INMUNIVTAKG                                       ,INMUNIZANTE CCA X KG,45508,KG  ,COP,20000,0,0,0,0,
1203,LPCLPTR29122244                                   ,LP COL PROTE R2 9 MM X 122 CM X 244 CM  ,45292,UND ,COP,67908,0,0,0,0,
1204,LPMULTI08122244                                   ,LP MULTIPLAC 8 MM X 122 CM X 244        ,45292,UND ,COP,60000,0,0,0,0,
1205,LPMULTI09122244                                   ,LP MULTIPLAC 9 MM X 122 CM X 244 CM     ,45292,UND ,COP,63175,0,0,0,0,
1206,LPOSB111122244                                    ,LP OSB APA 11.1 MM X 122 CM X 244 CM    ,45292,UND ,COP,84936,0,0,0,0,
1207,LPOSB183122244                                    ,LP OSB APA 18.3 MM X 122 CM X 244 CM    ,45292,UND ,COP,139862,0,0,0,0,
1208,LPOSB95122244                                     ,LP OSB APA 9.5 MM X 122 CM X 244 CM     ,45292,UND ,COP,68616,0,0,0,0,
1209,MADESUBPROAST                                     ,MADERA SUBPRODUCTO LEÑA                 ,45292,PLDA,COP,107112,0,0,0,0,
1210,MADSEGUNDA                                        ,MADERA DE SEGUNDA EN BRUTO,45520,M3  ,COP,1020000,0,0,0,0,
1211,MALLA0010150                                      ,MALLA C 10 X 150 MTS                    ,45292,UND ,COP,175599,0,0,0,0,
1212,MALLA0012150                                      ,MALLA C 12 X 150 MTS                    ,45292,UND ,COP,158011,0,0,0,0,
1213,MATACUFIVIPLAT                                    ,PAR TABLA PARA MATACULIN EN FIBRA VIDRIO,45292,UND ,COP,82353,0,0,0,0,
1214,MAZCAOBA00016KG                                   ,MAZZA CAOBA 1.6 KG                      ,45292,UND ,COP,33963,0,0,0,0,
1215,MAZCAOBA0220GRS                                   ,MAZZA CAOBA 220 GRS                     ,45292,UND ,COP,13654,0,0,0,0,
1216,MAZCASTA0016KG                                    ,MAZZA CASTAÑO 1.6 KG                    ,45292,UND ,COP,33963,0,0,0,0,
1217,MAZCASTA220GRS                                    ,MAZZA CASTAÑO 220 GRS                   ,45292,UND ,COP,13654,0,0,0,0,
1218,MAZNOGAL00016KG                                   ,MAZZA NOGAL 1.6 KG                      ,45292,UND ,COP,33963,0,0,0,0,
1219,MAZNOGAL0220GRS                                   ,MAZZA NOGAL 220 GRS                     ,45292,UND ,COP,13654,0,0,0,0,
1221,MESAPICNIC                                        ,MESA PICNIC                             ,45292,UND ,COP,439837,0,0,0,0,
1222,MTMAN16MM                                         ,METRO DE MANILA DE 16 M.M,45292,UND ,COP,2721,0,0,0,0,
1223,OSMCSNATUVGOLD36                                  ,OSMOCOLOR STAIN NATURAL UV GOLD 3.6 LTS ,45292,UND ,COP,118280,0,0,0,0,
1224,OSMCSTAINLAPACH36                                 ,OSMOCOLOR STAIN ST LAPACHO 3.6 LTS      ,45292,UND ,COP,118280,0,0,0,0,
1225,OSMCSTAINNOCES09                                  ,OSMOCOLOR STAIN ST NOCE 0.9 LTS         ,45292,UND ,COP,36053,0,0,0,0,
1226,OSMCSTAINNOOSC36                                  ,OSMOCOLOR STAIN ST NOGAL OSCURO 3.6 LTS ,45292,UND ,COP,118280,0,0,0,0,
1227,OSMCSTAINTRANS09                                  ,OSMOCOLOR STAIN TRANSP 0.9 LTS          ,45292,UND ,COP,33910,0,0,0,0,
1228,OSMCSTAINTRANS36                                  ,OSMOCOLOR STAIN TRANSP 3.6 LTS          ,45292,UND ,COP,106533,0,0,0,0,
1231,SUBPROCILIND                                      ,SUBPRODUCTO CILINDRADORA,45292,PLDA,COP,217411,0,0,0,0,
1232,PALADAVIRUTA                                      ,PALADA VIRUTA SECA,45292,PLDA,COP,92400,0,0,0,0,
1233,PALDASERSINF                                      ,PALADA ASERRIN HÚMEDO,45292,PLDA,COP,67760,0,0,0,0,
1234,PAQDECKMODTRAS6060                                ,PAQUETE DECK MODULAR TRASLAPADO 60 X 60,45292,UND ,COP,163526,0,0,0,0,
1235,PARAGARRDESL                                      ,PAR AGARRADERAS PARA DESLIZADERO,45292,UND ,COP,45882,0,0,0,0,
1236,PARAGARRMATA                                      ,PAR AGARRADERAS PARA MATACULIN,45292,UND ,COP,45882,0,0,0,0,
1237,PARARGHERRSENC                                    ,PAR DE ARGOLLAS HERRAJE SENCILLO,45292,UND ,COP,83529,0,0,0,0,
